timestamp_ms,sample_index,ldr_raw,led_state,active_mode,scenario_tag
19300,193,0,0,1,steady_dark
19400,194,0,1,1,steady_dark
19500,195,0,1,1,steady_dark
19600,196,0,1,1,steady_dark
19700,197,0,1,1,steady_dark
19802,198,1,1,1,transition_dark_to_light
19900,199,1,1,1,steady_light
20000,200,1,1,1,steady_light
20100,201,1,1,1,steady_light
20200,202,1,1,1,steady_light
20300,203,1,1,1,steady_light
20400,204,1,1,1,steady_light
20500,205,1,0,1,steady_light
20600,206,1,0,1,steady_light
20700,207,1,0,1,steady_light
20800,208,1,0,1,steady_light
20900,209,1,0,1,steady_light
21000,210,1,0,1,steady_light
21100,211,1,0,1,steady_light
21200,212,1,0,1,steady_light
21300,213,1,0,1,steady_light
21400,214,1,0,1,steady_light
21500,215,1,0,1,steady_light
21600,216,1,0,1,steady_light
21700,217,1,0,1,steady_light
21800,218,1,0,1,steady_light
21900,219,1,0,1,steady_light
22000,220,1,0,1,steady_light
22100,221,1,0,1,steady_light
22200,222,1,0,1,steady_light
22300,223,1,0,1,steady_light
22400,224,1,0,1,steady_light
22500,225,1,0,1,steady_light
22600,226,1,0,1,steady_light
22700,227,1,0,1,steady_light
22800,228,1,0,1,steady_light
22900,229,1,0,1,steady_light
23000,230,1,0,1,steady_light
23100,231,1,0,1,steady_light
23200,232,1,0,1,steady_light
23300,233,1,0,1,steady_light
23400,234,1,0,1,steady_light
23500,235,1,0,1,steady_light
23600,236,1,0,1,steady_light
23700,237,1,0,1,steady_light
23800,238,1,0,1,steady_light
23900,239,1,0,1,steady_light
24000,240,1,0,1,steady_light
24100,241,1,0,1,steady_light
24200,242,1,0,1,steady_light
24300,243,1,0,1,steady_light
24400,244,1,0,1,steady_light
24500,245,1,0,1,steady_light
24600,246,1,0,1,steady_light
24700,247,1,0,1,steady_light
24800,248,1,0,1,steady_light
24900,249,1,0,0,steady_light
25000,250,1,0,0,steady_light
25100,251,1,0,0,steady_light
25200,252,1,0,0,steady_light
25300,253,1,0,0,steady_light
25400,254,1,0,0,steady_light
25500,255,1,0,0,steady_light
25600,256,1,0,0,steady_light
25700,257,1,0,0,steady_light
25800,258,1,0,0,steady_light
25900,259,1,0,0,steady_light
26000,260,1,0,0,steady_light
26100,261,1,0,0,steady_light
26200,262,1,0,0,steady_light
26300,263,1,0,0,steady_light
26400,264,1,0,0,steady_light
26500,265,1,0,0,steady_light
26600,266,1,0,0,steady_light
26700,267,1,0,0,steady_light
26800,268,1,0,0,steady_light
26900,269,1,0,0,steady_light
27000,270,1,0,0,steady_light
27100,271,1,0,0,steady_light
27200,272,1,0,0,steady_light
27300,273,0,1,1,transition_light_to_dark
27400,274,0,1,1,steady_dark
27500,275,0,1,1,steady_dark
27600,276,0,1,1,steady_dark
27700,277,0,1,1,steady_dark
27800,278,0,1,1,steady_dark
27900,279,0,1,1,steady_dark
28000,280,0,1,1,steady_dark
28100,281,0,1,1,steady_dark
28200,282,0,1,1,steady_dark
28300,283,0,0,1,steady_dark
28400,284,0,0,1,steady_dark
28500,285,0,0,1,steady_dark
28600,286,0,0,1,steady_dark
28700,287,0,0,1,steady_dark
28800,288,0,0,1,steady_dark
28900,289,0,0,1,steady_dark
29000,290,0,0,1,steady_dark
29100,291,0,0,1,steady_dark
29200,292,0,0,1,steady_dark
29300,293,0,0,1,steady_dark
29400,294,0,0,1,steady_dark
29500,295,0,0,1,steady_dark
29600,296,0,0,1,steady_dark
29700,297,0,0,1,steady_dark
29800,298,0,0,1,steady_dark
29900,299,0,0,1,steady_dark
30000,300,0,0,1,steady_dark
30100,301,0,0,1,steady_dark
30200,302,0,0,1,steady_dark
30300,303,0,0,1,steady_dark
30400,304,0,0,1,steady_dark
30500,305,0,0,1,steady_dark
30600,306,0,0,1,steady_dark
30700,307,0,0,1,steady_dark
30800,308,0,0,1,steady_dark
30900,309,0,0,1,steady_dark
31000,310,0,0,1,steady_dark
31100,311,0,0,1,steady_dark
31200,312,0,0,1,steady_dark
31300,313,0,0,1,steady_dark
31400,314,0,0,1,steady_dark
31500,315,0,0,1,steady_dark
31600,316,0,0,1,steady_dark
31700,317,0,0,1,steady_dark
31800,318,0,0,1,steady_dark
31900,319,0,0,1,steady_dark
32000,320,0,0,1,steady_dark
32100,321,0,0,1,steady_dark
32200,322,0,0,1,steady_dark
32300,323,0,0,1,steady_dark
32400,324,0,0,1,steady_dark
32500,325,0,0,1,steady_dark
32600,326,0,0,1,steady_dark
32700,327,0,0,1,steady_dark
32800,328,0,0,1,steady_dark
32900,329,0,0,1,steady_dark
33000,330,0,0,1,steady_dark
33100,331,0,1,1,steady_dark
33200,332,0,1,1,steady_dark
33300,333,0,1,1,steady_dark
33400,334,0,1,1,steady_dark
33500,335,0,1,1,steady_dark
33600,336,0,1,1,steady_dark
33700,337,0,1,1,steady_dark
33800,338,0,1,1,steady_dark
33900,339,0,1,1,steady_dark
34000,340,0,1,1,steady_dark
34100,341,0,0,1,steady_dark
34200,342,0,0,1,steady_dark
34300,343,0,0,1,steady_dark
34400,344,0,0,1,steady_dark
34500,345,0,0,1,steady_dark
34600,346,0,0,1,steady_dark
34700,347,0,0,1,steady_dark
34800,348,0,0,1,steady_dark
34900,349,0,0,1,steady_dark
35000,350,0,0,1,steady_dark
35100,351,0,0,1,steady_dark
35200,352,0,0,1,steady_dark
35300,353,0,0,1,steady_dark
35400,354,0,0,1,steady_dark
35500,355,0,0,1,steady_dark
35600,356,0,0,1,steady_dark
35700,357,0,0,1,steady_dark
35800,358,0,0,1,steady_dark
35900,359,0,0,1,steady_dark
36000,360,0,0,1,steady_dark
36100,361,0,0,1,steady_dark
36200,362,0,0,1,steady_dark
36300,363,0,0,1,steady_dark
36400,364,0,0,1,steady_dark
36500,365,0,0,1,steady_dark
36600,366,0,0,1,steady_dark
36700,367,0,0,1,steady_dark
36800,368,0,0,1,steady_dark
36900,369,0,0,1,steady_dark
37000,370,0,0,1,steady_dark
37100,371,0,0,1,steady_dark
37200,372,0,0,1,steady_dark
37300,373,0,0,1,steady_dark
37400,374,0,0,1,steady_dark
37500,375,0,0,1,steady_dark
37600,376,0,0,1,steady_dark
37700,377,0,0,1,steady_dark
37800,378,0,0,1,steady_dark
37900,379,0,0,1,steady_dark
38000,380,0,0,1,steady_dark
38100,381,0,1,1,steady_dark
38200,382,0,1,1,steady_dark
38300,383,0,1,1,steady_dark
38400,384,0,1,1,steady_dark
38500,385,0,1,1,steady_dark
38600,386,0,1,1,steady_dark
38700,387,0,1,1,steady_dark
38800,388,0,1,1,steady_dark
38900,389,0,1,1,steady_dark
39000,390,0,1,1,steady_dark
39100,391,0,0,1,steady_dark
39200,392,0,0,1,steady_dark
39300,393,0,0,1,steady_dark
39400,394,0,0,1,steady_dark
39500,395,0,0,1,steady_dark
39600,396,0,0,1,steady_dark
39700,397,0,0,1,steady_dark
39800,398,0,0,1,steady_dark
39900,399,0,0,1,steady_dark
40000,400,0,0,1,steady_dark
40100,401,0,0,1,steady_dark
40200,402,0,0,1,steady_dark
40300,403,0,0,1,steady_dark
40400,404,0,0,1,steady_dark
40500,405,0,0,1,steady_dark
40600,406,0,0,1,steady_dark
40700,407,0,0,1,steady_dark
40800,408,0,0,1,steady_dark
40900,409,0,0,1,steady_dark
41000,410,0,0,1,steady_dark
